"","x"
"1","Hi i am new Samsung user, I have brand new Galaxy Fit band and steps are way off. I did around 300 steps around apartment thi morning but Fit measured over 1400 steps, that is way way off. Any suggestions."
"2","Yesterday I had perhaps 80% storage used on my S9 on Android Pie."
"3","My gear sport did a software update approximately 2 weeks ago. I am a runner who often runs 5ks. I have a particular running trail that I use often. I used this trail so often that I know exactly how far a 5k is. Before the update, my watch tracked the mileage accurately. After the update, my watch does not track the mileage accurately. Every time I run a 5k (3.1 miles), it says that I only ran 2.6 miles. How do I fix this?"
"4","So I have had my gear sport for nearly a year. I usually have my samsung health app set to only count steps on my gear sport because I wear it all the time except when I am showering (that is when I charge it.) All of a sudden, this afternoon it switched to ""all steps"" on its own. Problem is that this makes it double count the steps when I have my phone on me. My gear sport has only 6800 steps on it. But my app says 9700 steps. And I only took my watch off in the shower so the 6800 steps is accurate. When I try to switch the app from ""all steps"" to my wearable device, the gear sport no longer shows up as an option. The only options are ""all steps,"" ""mobile phone,"" or ""gearfit 2."" I haven't used my gearfit 2 for a year. I am a health and wellness coach so I would really like my app to be accurate. How do I fix this?"
"5","Why is the New Galaxy watch not supporting"
"6","Trying to watch sky q and saying your device is currently being registered. New to Samsung and I'm so confused. Wont let me watch anything"
"7","Hi Community,"
"8","Has anyone else had issues connecting to TV via AirPlay2 using Apple devices?"
"9","Samsung Smart TV Keyboard not working . Model:UN40KU6300F."
"10","Is there a way to disable charing icon in last software update number R810XXU1CSD6, One UI version 1.0? It is a little bit annoying when charging at night."
"11","According to the WWE website, my television (55"" RU7100 HDR Smart 4K TV [UE55RU7100KXXU])"
"12","I have it on my Samsung galaxy j5 but hubby cant download it to his galaxy a3. Anyone help x"
"13","We have one user that is having a problem with her calendar syncing through Activesync. Calendar syncing just stops. When going in to the settings, account her email will have a recent last synced, but her calendar will have hours since last synced. It doesn’t resolve itself and the only way we have found to fix it is to remove the account and re-add it. She had a Note 8 and just moved to a Note 9, both exhibit the issue. Looked at her Exchange Active Sync settings and couldn’t find any issues with it. We setup the Google Client and it works without issue."
"14","So I'm trying to set up Samsung Pay and I entered all the right information and it said my card is invalid like wtf"
"15","We have a samsung smart TV and have Philips SHC8535 headphones. They've both worked together with no issue for 5 years however several weeks ago the headphones no longer work with the TV. The headphones are working as we've tried them on other devices, with no issue but the headphones and TV no longer seem to co-operate. Any ideas how i can rectify this?"
"16","I have a fairly new 1080p Technika semi-smart TV. It has USB connections for disc storage, I can configure it's network settings, however it doesn't have any built in Bluetooth or WiFi. I wanted to send the screen from my computer to the TV without having to use the HDMI I'm currently using. Will either of these Samsung products work for that or am I looking at the wrong thing?"
"17","Just got an S10+ and installed Flow on my computer. Some of the features in Flow are good but I wanted to be able to automatically backup certain folders / file types as soon as the phone is in range again. At the moment, the only way to do this seems to be to manually transfer one by one. Would the team developing Flow be able to add an auto copy / auto transfer option so I can select a folder and have it either make update the computer stored backups or transfer the files over?"
"18","Clearing the Calendar Storage cache and storage doesn't help. My fiancée and I have the same problem and the common factor is that both of us own the S7 and 2 smart watches(me: Gear S3, hers: Galaxy Watch)."
"19","Why does my say health app say I was walking when I was actually running? And it records a less distance than what I ran as well as less calories."
"20","Hello, I'm looking for stock firmware (XXV) of Galaxy Watch Active. Anybody have it? Please share it, Thanks a lot"
"21","Ive been using my galaxy S7 for years now and I am mostly pleased with it (other than battery life). Until few days ago that is. It started freezing and restarting on its own in different apps (whatsapp, chrome, games..). One time it even froze when I wanted to check what time it is by only pressing home button. I have cleared system cache and cache and data of few apps that I was using when it restarted but it didnt help. I dont see any other option than reseting to factory settings which I will do later on. Does anyone have any idea what could be causing this and any fix for it?"
"22","Hi, just wondering if anyone knows how to change/customise the swimming pool length after one UI update, I can't seem to find how."
"23","My Samsung TV (UE49MU6179) just automatically updated to firmware 1270. This update seems to include changes to the Tizen browser, since I'm no longer able to watch livestreams on Twitch.tv."
"24","Does anyone know why my camera on snapchat Facebook Instagram is really zoomed in its not very flattering and I've no idea how to change it anyone ideas??"
"25","I haven't received any software update to my GS8+ since 1year."
"26","Here is my latest software update information:"
"27","My Q9FN was purchased in Septemer 2018. When playing movies the videos will regularly flash a split second of white sometimes black."
"28","Is anyone else having trouble with the GPS on the S3 since the last software update? Mine keeps either freezing of not measuring accurately."
"29","Auto sync music tracks has filled up my Galaxy Watch memory so that now I can't even set an alarm because of memory is full errors."
"30","Hi All"
"31","Their update on the 15th of May rendered the expensive clear view case useless for many of us. Samsung support suggest basically resetting the phone to factory settings - but wouldn't that just mean the same faulty update would be pushed to the phone again?"
"32","Hello,"
"33","Android OS app, used 80% of all my mobile data allocation in one day. All data used in Android OS background, but with S6 you cant swith off background in Android OS like you can in other apps. Contacted Samsung suuport and they can't help even though they used smart tutor. currently have to have mobile data off to save it happening again. Any ideas?"
"34","Getting error message All4-T008 when trying to load it on my SAMSUNG UE40NU7199 tv"
"35","Hi"
"36","I have my own application able to send notifications. All notifications works on phone."
"37","Haven't been able to reach or access my emails on the S10plus after transferring from old Samsung. Email address there but no content. No old emails or new ones coming through. Anyone help me on this"
"38","My 5ablet has suddenly stopped playing videos from YouTube and Facebook. Does anyone know why, and how I can resolve this please?"
"39","Hi support,"
"40",NA
"41","Hi,"
"42","Its been a while since I started experiencing this problem on my phone. Whenever I download a video then open it on gallery to check if its working an error message failed to play video appears. Even the video my sister shared to me doesn't play either. I wanted to post video to my sns accounts but I can't due to this. Hope you could help me with this. Thank you."
"43","I was recording videos until my phone wouldn't allow me record anymore . Kept showing ""recording failed "" . I checked for the videos I had record and everything was fine , videos were playing . The next day I checked my gallery and all my videos and some pictures had a sign on them . I didn't know what it meant so I left it alone and refresh my phone . Once back on all my videos had dissapeared, I looked everywhere but no sign of them . I have an SD card insert but I don't know if it has to do with the SD card"
"44","What is the default password for call barring on samsung A30.?"
"45","I have the international version of the S10 Plus working well here in North America on T-Mobile except for a few minor bugs. The most annoying of those is the behavior of Wifi Calling."
